Gerencia,Valor Praticado
13406 - EDALICE PERFUMES LTDA ME,84072.98
13408 - LUA BRANCA PERFUMES LTDA ME,35735.66
14056 - ESGN PERFUMES LTDA ME,4153.63
23107 - TIMBAUBA PERFUMES LTDA,10644.36
