VD,Valor Praticado
13406 - EDALICE PERFUMES LTDA ME,131786.98
13408 - LUA BRANCA PERFUMES LTDA ME,109867.99
14056 - ESGN PERFUMES LTDA ME,17608.04
23107 - TIMBAUBA PERFUMES LTDA,28935.02
