VD,Valor Praticado
13406 - EDALICE PERFUMES LTDA ME,14689.71
13408 - LUA BRANCA PERFUMES LTDA ME,7121.02
14056 - ESGN PERFUMES LTDA ME,3174.61
23107 - TIMBAUBA PERFUMES LTDA,4944.25
